year;rhm;no_rhm;total;title
1826;16;0;16;С зарею красною восходит
1827;10;0;10;Извините я невольно
1827;4;0;4;Козьма говорят хвор
1827;2;0;2;Сосед мой пьет арак
1827;6;0;6;Не верю чтоб Ириса
1827;4;0;4;Вралев писавший эпиграмму
1827;24;0;24;Жизнь моя несется
1827;16;0;16;В бурной жизни сновиденья
1827;29;0;29;Если Лизанька милая
1827;8;0;8;Красавице любезной
1827;12;0;12;В чужой стране далеко
1827;2;18;20;По лютой друг разлуке
1827;1;31;32;Лишь тот один счастливый
1827;36;8;44;Люблю тебя о брат двоюродный
1827;54;0;54;Плывет рыцарь одинокий
1827;16;1;17;Вчера как ночи мгла
1827;16;0;16;Не уверяй твоим словам
1827;0;71;71;Овечки родные
1827;20;0;20;Не прельщайте не маните
1827;29;0;29;О чем ровесник молодой
1827;4;16;20;Если встречусь с тобой
1828;30;0;30;Сгустились тучи
1828;21;0;21;Настала осень непогоды
1828;20;3;23;Напрасно думаешь слезами
1828;6;26;32;Теперь ясней уж вижу я
1828;22;0;22;О всеблагое провиденье
1828;21;0;21;Ах чья ты дева красота
1828;35;5;40;Вблизи дороги столбовой
1829;14;2;16;Я был у ней она сказала
1829;0;31;31;На что мне боже сильный
1829;20;1;21;Вся жизнь моя как сине море
1829;2;26;28;Увижу ль увижу ль
1829;0;20;20;Ничто ничто на свете
1829;34;1;35;Служил я прежде Лизе скромной
1829;32;3;35;Зачем так скоро скрылась ты
1829;0;26;26;Что груди тяжельше
1829;24;0;24;Вы милы всем вы очень скромны
1829;16;1;17;В селе при первой встрече нашей
1829;7;0;7;Подобных Маше очень мало
1829;16;5;21;Зачем ты дева не желаешь
1829;0;16;16;Очи очи голубые
1829;0;30;30;Увижу ль я девушку
1829;20;4;24;Там где терем тот стоит
1829;15;5;20;Люди добрые скажите
1829;22;0;22;Расти счастливо брат мой милый
1829;39;0;39;Давно за суетой бессрочной
1829;12;2;14;Сестра вот были чудных снов
1829;4;0;4;Пишу не для мгновенной славы
1829;23;0;23;Итак вчерашний разговор
1829;25;0;25;Не посуди чем я богат
1829;20;0;20;Приди ко мне когда зефир
1829;18;10;28;По над Доном сад цветет
1829;28;0;28;Да жизнь не то что говорили
1829;20;0;20;Не мне внимать напев волшебный
1829;36;0;36;Скажи какие возраженья
1829;8;8;16;Давайте подруги
1829;67;0;67;Красавицы-девушки
1830;22;2;24;Сбылось что вы желали тайно
1830;4;0;4;Пускай с насмешкою холодной
1830;10;2;12;О не кажи улыбки страстной
1830;20;0;20;Утратив то что было мило
1830;8;0;8;Триолет
1830;32;0;32;Развеселись забудь что было
1830;20;0;20;Опять тоску опять любовь
1830;8;1;9;Что мне скажите написать
1830;22;1;23;И вы на нас грозой хотите
1830;38;0;38;Мой друг любовь нас разлучает
1830;37;3;40;В твои объятья гроб холодный
1830;0;18;18;Скучно с жизнью старческой
1830;18;0;18;Не мучь красавица моя
1830;52;0;52;Уж рощей лиственная сень
1830;42;0;42;Не тот счастлив кто кучи злата
1830;19;0;19;Что душу в юности пленило
1830;20;0;20;Осиротелый и унылый
1830;38;1;39;Когда мне шел двадцатый год
1830;2;18;20;На что ты сердце нежное
1830;0;28;28;Я затеплю свечу
1830;0;52;52;Ворота тесовы растворилися
1830;0;16;16;Оседлаю коня
1830;8;0;8;Какие думы в глубине
1830;11;13;24;Дайте бокалы
1830;17;1;18;Что крошка мелкая я значу
1830;16;0;16;Как жаль что счастия звезда
1830;26;0;26;Стою зловещей думы полн
1830;24;0;24;Внимай мой друг как здесь прелестно
1831;2;42;44;Ну тащися сивкой
1831;16;0;16;Мой мой ангел милый
1831;73;3;76;Взгрустнулось как-то мне в степи однообразной
1832;28;0;28;В темном лесе за рекой
1832;12;0;12;Духи неба дайте мне
1832;0;28;28;Ты не пой соловей
1832;0;53;53;На восьмой десяток
1833;26;0;26;Няня няня правда ль это
1833;2;42;44;Мне ли молодцу
1833;0;30;30;Тучи носят воду
1834;0;24;24;Не шуми ты рожь
1835;2;106;108;Красным полымем
1835;9;15;24;Погубили меня
1836;4;12;16;Все творенья в божьем мире
1836;28;0;28;Павел девушку любил
1836;0;48;48;Высоко стоит
1836;4;115;119;Не возьму я в толк
1836;36;0;36;Целый век я рылся
1836;2;50;52;С душою пророка
1836;0;58;58;Глубокая вечность
1836;0;28;28;Спаситель спаситель
1836;0;36;36;Чья это могила
1836;20;0;20;Природы милое творенье
1836;12;0;12;Перстенечек золотой
1837;0;24;24;Сяду я за стол да подумаю
1837;18;12;30;Ходит оклик по горам
1837;14;14;28;Соловьем залетным
1837;4;60;64;Так ты моя красавица
1837;4;78;82;Как ты можешь
1837;6;22;28;Что ты значишь в этом мире
1837;0;28;28;Отец света вечность
1837;0;74;74;Весною степь зеленая
1837;0;80;80;Что дремучий лес
1837;18;26;44;С радости веселья
1837;4;44;48;В золотое время
1837;0;16;16;Две жизни в мире есть
1837;0;24;24;Горит огнем и вечной мыслью солнце
1838;0;20;20;Жарко в небе солнце летнее
1838;4;27;31;Давно расстались мы с тобою
1838;2;30;32;Ах зачем меня
1838;14;29;43;Обойми поцелуй
1838;4;60;64;На селе своем жил молодец
1838;2;41;43;На пир сердечных наслаждений
1838;8;12;20;В стройных звуках льются песни
1838;10;10;20;В поле ветер веет
1838;24;0;24;Надо мною буря выла
1838;0;40;40;Не страшна мне добру молодцу
1838;2;26;28;Убил я жизнь искавши счастья
1838;18;26;44;Уж как гляну я на поле
1838;14;14;28;Что ты ходишь с нуждой
1839;20;0;20;Опять в глуши опять досуг
1839;10;10;20;Пред тобою мой бог
1839;14;18;32;Путь широкий давно
1839;9;26;35;Ах ты горе горе
1839;12;12;24;В непогоду ветер
1839;0;32;32;Загрустила запечалилась
1839;36;56;92;За рекой на горе
1839;6;27;33;Ты в путь иной отправилась одна
1839;0;24;24;Не разливай волшебных звуков
1839;12;40;52;Что ты спишь мужичок
1839;0;24;24;Говорил мне друг прощаючись
1839;0;28;28;О чем шумит сосновый лес
1839;0;20;20;Без ума без разума
1839;0;48;48;Будь человек терпи
1840;20;16;36;Долго ль буду я
1840;0;24;24;Греет солнышко да осенью
1840;0;20;20;Не скажу никому
1840;2;14;16;Напрасно я молю святое провиденье
1840;0;33;33;Есть люди меж людей они
1840;10;6;16;Так и рвется душа
1840;0;24;24;На заре туманной юности
1840;8;20;28;Не на радость не на счастие
1840;0;32;32;До чего ты моя молодость
1840;0;24;24;Дуют ветры ветрый буйные
1840;0;24;24;Затрубили трубы бранные
1840;0;32;32;Как женился я раскаялся
1840;2;22;24;Где вы дни мои 
1840;4;24;28;В душе человека
1840;10;10;20;Много есть у меня
1840;16;12;28;Жизнь зачем ты собой
1840;0;24;24;Отчего скажи
1840;20;24;44;Не смотря в лицо
1840;18;34;52;Под тенью роскошной
1840;0;8;8;Не может быть чтобы мои идеи
1841;0;20;20;У чужих людей
1841;2;14;16;Ты прости прощай
1841;4;20;24;Не весна тогда
1841;12;0;12;Где б ни был я всегда
1841;0;24;24;Расступитесь леса темные
1841;0;16;16;Как здоров да весел
1841;12;20;32;В Александровской слободке
1841;0;20;20;Из лесов дремучих северных
1841;4;0;4;Он жил и был здесь всем чужой
1841;26;2;28;Умом легко нам свет обнять
1841;22;2;24;Не время ль нам оставить
1841;18;10;28;Я любила его
1842;32;0;32;Прожитый год тебя я встретил шумно
1842;12;12;24;Что он ходит за мной
1842;0;4;4;Когда есть жизнь другая там
1842;12;12;24;Нынче ночью к себе
1842;0;32;32;Ночка темная
